"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5320000.00","532","Oshawa","0000.00",135915.00,111790.00,102000.00
"5320001.00","532","Oshawa","0001.00",1285.00,1045.00,68000.00
"5320002.01","532","Oshawa","0002.01",1390.00,1135.00,76500.00
"5320002.02","532","Oshawa","0002.02",1445.00,1040.00,56400.00
"5320002.03","532","Oshawa","0002.03",2165.00,1685.00,84000.00
"5320003.01","532","Oshawa","0003.01",1560.00,1230.00,87000.00
"5320003.02","532","Oshawa","0003.02",2175.00,1840.00,101000.00
"5320004.01","532","Oshawa","0004.01",1095.00,855.00,81000.00
"5320004.02","532","Oshawa","0004.02",1425.00,1070.00,54800.00
"5320005.00","532","Oshawa","0005.00",1215.00,885.00,52800.00
"5320006.00","532","Oshawa","0006.00",1125.00,815.00,61600.00
"5320007.00","532","Oshawa","0007.00",1995.00,1535.00,79000.00
"5320008.01","532","Oshawa","0008.01",1335.00,1145.00,99000.00
"5320008.02","532","Oshawa","0008.02",885.00,660.00,82000.00
"5320008.03","532","Oshawa","0008.03",1440.00,1205.00,98000.00
"5320008.05","532","Oshawa","0008.05",955.00,815.00,91000.00
"5320008.06","532","Oshawa","0008.06",1940.00,1690.00,119000.00
"5320008.08","532","Oshawa","0008.08",1335.00,1145.00,130000.00
"5320008.09","532","Oshawa","0008.09",1265.00,1055.00,111000.00
"5320009.01","532","Oshawa","0009.01",950.00,750.00,75500.00
"5320009.02","532","Oshawa","0009.02",1250.00,1030.00,96000.00
"5320009.03","532","Oshawa","0009.03",2090.00,1760.00,97000.00
"5320009.04","532","Oshawa","0009.04",940.00,810.00,92000.00
"5320009.05","532","Oshawa","0009.05",1525.00,1240.00,78000.00
"5320010.00","532","Oshawa","0010.00",1490.00,950.00,45600.00
"5320011.00","532","Oshawa","0011.00",1705.00,1350.00,84000.00
"5320012.01","532","Oshawa","0012.01",1135.00,780.00,65000.00
"5320012.02","532","Oshawa","0012.02",945.00,755.00,86000.00
"5320013.00","532","Oshawa","0013.00",2005.00,1685.00,111000.00
"5320014.01","532","Oshawa","0014.01",905.00,665.00,98000.00
"5320014.02","532","Oshawa","0014.02",1450.00,960.00,52000.00
"5320015.02","532","Oshawa","0015.02",1510.00,1195.00,94000.00
"5320015.03","532","Oshawa","0015.03",695.00,525.00,80000.00
"5320015.04","532","Oshawa","0015.04",1120.00,790.00,74000.00
"5320016.04","532","Oshawa","0016.04",4240.00,3550.00,114000.00
"5320016.05","532","Oshawa","0016.05",1875.00,1505.00,108000.00
"5320016.06","532","Oshawa","0016.06",2050.00,1695.00,132000.00
"5320016.07","532","Oshawa","0016.07",1135.00,940.00,134000.00
"5320016.08","532","Oshawa","0016.08",1920.00,1600.00,151000.00
"5320100.01","532","Oshawa","0100.01",1980.00,1525.00,112000.00
"5320100.02","532","Oshawa","0100.02",1735.00,1260.00,94000.00
"5320100.03","532","Oshawa","0100.03",2445.00,1995.00,133000.00
"5320101.02","532","Oshawa","0101.02",1325.00,1065.00,115000.00
"5320101.03","532","Oshawa","0101.03",1305.00,1085.00,126000.00
"5320101.04","532","Oshawa","0101.04",1485.00,1245.00,106000.00
"5320101.05","532","Oshawa","0101.05",1345.00,1015.00,86000.00
"5320101.06","532","Oshawa","0101.06",1430.00,1155.00,120000.00
"5320102.01","532","Oshawa","0102.01",935.00,710.00,118000.00
"5320102.02","532","Oshawa","0102.02",670.00,545.00,49200.00
"5320102.03","532","Oshawa","0102.03",930.00,730.00,79500.00
"5320103.00","532","Oshawa","0103.00",845.00,625.00,74000.00
"5320104.00","532","Oshawa","0104.00",1400.00,1155.00,100000.00
"5320105.04","532","Oshawa","0105.04",1170.00,885.00,133000.00
"5320105.05","532","Oshawa","0105.05",1735.00,1365.00,121000.00
"5320105.06","532","Oshawa","0105.06",905.00,750.00,118000.00
"5320105.07","532","Oshawa","0105.07",1635.00,1360.00,146000.00
"5320105.08","532","Oshawa","0105.08",1275.00,1010.00,151000.00
"5320105.09","532","Oshawa","0105.09",1770.00,1455.00,123000.00
"5320105.10","532","Oshawa","0105.10",1950.00,1650.00,132000.00
"5320105.14","532","Oshawa","0105.14",1650.00,1275.00,133000.00
"5320105.15","532","Oshawa","0105.15",2470.00,2045.00,138000.00
"5320105.17","532","Oshawa","0105.17",465.00,420.00,144000.00
"5320105.18","532","Oshawa","0105.18",1740.00,1445.00,164000.00
"5320105.19","532","Oshawa","0105.19",1775.00,1440.00,159000.00
"5320105.20","532","Oshawa","0105.20",1715.00,1475.00,166000.00
"5320105.21","532","Oshawa","0105.21",645.00,600.00,124000.00
"5320105.22","532","Oshawa","0105.22",510.00,385.00,130000.00
"5320105.23","532","Oshawa","0105.23",2075.00,1700.00,143000.00
"5320105.24","532","Oshawa","0105.24",930.00,820.00,166000.00
"5320200.00","532","Oshawa","0200.00",2300.00,2030.00,113000.00
"5320201.01","532","Oshawa","0201.01",2450.00,2190.00,106000.00
"5320201.02","532","Oshawa","0201.02",1440.00,1320.00,111000.00
"5320202.04","532","Oshawa","0202.04",2375.00,2060.00,129000.00
"5320202.05","532","Oshawa","0202.05",2035.00,1755.00,122000.00
"5320202.08","532","Oshawa","0202.08",1050.00,915.00,109000.00
"5320202.09","532","Oshawa","0202.09",1250.00,1110.00,119000.00
"5320202.11","532","Oshawa","0202.11",2955.00,2615.00,104000.00
"5320202.12","532","Oshawa","0202.12",985.00,870.00,127000.00
"5320202.13","532","Oshawa","0202.13",1110.00,1000.00,131000.00
"5320202.14","532","Oshawa","0202.14",250.00,215.00,101000.00
"5320202.15","532","Oshawa","0202.15",130.00,115.00,67000.00
"5320202.16","532","Oshawa","0202.16",2430.00,2105.00,123000.00
"5320202.17","532","Oshawa","0202.17",720.00,665.00,107000.00
"5320202.18","532","Oshawa","0202.18",805.00,720.00,127000.00
"5320203.01","532","Oshawa","0203.01",2080.00,1825.00,117000.00
"5320203.02","532","Oshawa","0203.02",2215.00,1915.00,124000.00
"5320203.03","532","Oshawa","0203.03",1405.00,1175.00,88000.00
