CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,centroid_x,centroid_y
5370001.08,2021S05075370001.08,0001.08,1.6383,35,Hamilton,1.08,2505.0,2025.0,108000.0,80.83832335329342,5808.303785569448,5.808303785569448,0.45850650450918684,0.061,1,0.10552860411899313,False,Not Significant,Not significant,592479.5370921912,4783594.971266028
5370001.09,2021S05075370001.09,0001.09,1.9699,35,Hamilton,1.09,1725.0,1330.0,108000.0,77.10144927536233,6430.335994699919,6.430335994699919,0.47374009747178936,0.002,1,0.009362229102167182,True,High-High,FDR-significant,591417.595994432,4783110.670026519
5370120.02,2021S05075370120.02,0120.02,76.965,35,Hamilton,120.02,675.0,575.0,121000.0,85.18518518518519,12121.077731106134,12.121077731106134,1.0955115760527752,0.001,1,0.006222222222222222,True,High-High,FDR-significant,579991.1058632007,4780646.963744818
5370140.04,2021S05075370140.04,0140.04,3.027,35,Hamilton,140.04,1175.0,990.0,137000.0,84.25531914893617,4220.295999163577,4.220295999163577,0.8960649634377794,0.004,1,0.01566839378238342,True,High-High,FDR-significant,588747.4293503984,4797011.782977048
5320202.11,2021S05075320202.11,0202.11,2.9617,35,Oshawa,202.11,2955.0,2615.0,104000.0,88.49407783417935,832.2094442578165,0.8322094442578165,1.3366097177901295,0.001,1,0.006222222222222222,True,High-High,FDR-significant,683950.844614446,4863552.127795101
5320015.02,2021S05075320015.02,0015.02,2.2367,35,Oshawa,15.02,1510.0,1195.0,94000.0,79.13907284768213,6497.4696480103175,6.497469648010317,0.2682299828905488,0.161,1,0.20806153846153846,False,Not Significant,Not significant,670095.7085443956,4867752.953187261
5350420.13,2021S05075350420.13,0420.13,1.8675,35,Toronto,420.13,1715.0,1260.0,81000.0,73.46938775510205,574.6900720769205,0.5746900720769205,0.15846504108410928,0.031,1,0.06546368715083799,False,Not Significant,Not significant,627082.6527662316,4855531.196390642
5350422.03,2021S05075350422.03,0422.03,3.5903,35,Toronto,422.03,1705.0,1335.0,128000.0,78.2991202346041,3210.963694525795,3.2109636945257947,0.40081299773790924,0.015,1,0.03951219512195121,True,High-High,FDR-significant,628930.4161409014,4861075.875848467
5350422.04,2021S05075350422.04,0422.04,0.8388,35,Toronto,422.04,915.0,735.0,119000.0,80.32786885245902,2454.1393820419007,2.454139382041901,0.47308717799612454,0.131,1,0.18006545454545453,False,Not Significant,Not significant,628587.7325824057,4860237.228711678
5350422.05,2021S05075350422.05,0422.05,1.5519,35,Toronto,422.05,1630.0,1265.0,120000.0,77.60736196319019,1618.5918042768865,1.6185918042768865,0.25825189535696125,0.093,1,0.14005577689243026,False,Not Significant,Not significant,627674.3706634715,4860095.942679976
5350422.06,2021S05075350422.06,0422.06,1.8382,35,Toronto,422.06,1480.0,1020.0,63200.0,68.91891891891892,507.25370332933863,0.5072537033293386,-0.011318520919732872,0.081,2,0.126259793814433,False,Not Significant,Not significant,626349.1996732625,4859546.262235464
5350424.07,2021S05075350424.07,0424.07,2.0988,35,Toronto,424.07,2135.0,1795.0,125000.0,84.07494145199064,1060.2579425475842,1.0602579425475842,0.7678045838309914,0.019,1,0.04717241379310345,True,High-High,FDR-significant,623892.3890146165,4862014.646511961
5350424.08,2021S05075350424.08,0424.08,2.3112,35,Toronto,424.08,2030.0,1710.0,137000.0,84.23645320197043,1183.5917357708122,1.1835917357708121,0.6338795777094897,0.045,1,0.08580075662042876,False,Not Significant,Not significant,624022.6268937835,4860989.859994864
5350804.10,2021S05075350804.10,0804.10,1.4956,35,Toronto,804.1,1220.0,885.0,81000.0,72.54098360655738,601.9455018887123,0.6019455018887123,0.10439063532669746,0.107,1,0.1549655172413793,False,Not Significant,Not significant,653481.0426265758,4855258.038837284
5350804.11,2021S05075350804.11,0804.11,1.6894,35,Toronto,804.11,1990.0,1485.0,93000.0,74.62311557788944,1660.4282843937815,1.6604282843937814,0.18222971843040234,0.067,1,0.11144554455445546,False,Not Significant,Not significant,654984.8859724642,4856291.235448291
5350450.05,2021S05075350450.05,0450.05,3.0023,35,Toronto,450.05,1950.0,1640.0,124000.0,84.1025641025641,953.0152571308884,0.9530152571308883,0.7860558705554547,0.004,1,0.01566839378238342,True,High-High,FDR-significant,624234.7036304609,4876842.712995679
5350450.06,2021S05075350450.06,0450.06,3.3529,35,Toronto,450.06,2370.0,2045.0,148000.0,86.28691983122363,2536.8758026901505,2.5368758026901506,0.9704374832589376,0.01,1,0.03030060120240481,True,High-High,FDR-significant,626095.806793351,4877510.490278079
5350573.06,2021S05075350573.06,0573.06,0.8234,35,Toronto,573.06,1875.0,1405.0,107000.0,74.93333333333332,2245.0708419653483,2.2450708419653482,0.14327991547864108,0.184,1,0.229166392092257,False,Not Significant,Not significant,597537.3895511536,4838666.731444097
5350573.07,2021S05075350573.07,0573.07,1.5397,35,Toronto,573.07,2375.0,1665.0,84000.0,70.10526315789474,993.4509679815294,0.9934509679815294,0.02345438873692587,0.076,1,0.12007523510971788,False,Not Significant,Not significant,598657.0092685224,4837646.870692326
5350576.16,2021S05075350576.16,0576.16,0.985,35,Toronto,576.16,2575.0,2040.0,118000.0,79.2233009708738,6176.721332114981,6.176721332114981,0.3097853181051755,0.092,1,0.13896503496503496,False,Not Significant,Not significant,599858.2790203961,4844023.872017973
5350576.17,2021S05075350576.17,0576.17,1.1763,35,Toronto,576.17,2525.0,1850.0,114000.0,73.26732673267327,6652.647316907927,6.652647316907927,0.1317342869815806,0.075,1,0.11949420442571126,False,Not Significant,Not significant,600352.3187389631,4844464.62889236
5350585.09,2021S05075350585.09,0585.09,2.5319,35,Toronto,585.09,2265.0,2030.0,124000.0,89.62472406181016,15809.211248299549,15.80921124829955,1.5383123037882254,0.001,1,0.006222222222222222,True,High-High,FDR-significant,602490.3565487054,4859245.970919094
5350585.10,2021S05075350585.10,0585.10,1.9392,35,Toronto,585.1,1965.0,1770.0,124000.0,90.07633587786259,13901.084895369779,13.90108489536978,1.6287560949671316,0.001,1,0.006222222222222222,True,High-High,FDR-significant,603634.6779329992,4857652.572462493
5350586.02,2021S05075350586.02,0586.02,85.5158,35,Toronto,586.02,1070.0,960.0,115000.0,89.7196261682243,9219.938924991491,9.21993892499149,1.2909003098587228,0.001,1,0.006222222222222222,True,High-High,FDR-significant,588377.105970319,4843348.466228515
5350516.30,2021S05075350516.30,0516.30,2.4039,35,Toronto,516.3,1585.0,1310.0,156000.0,82.64984227129337,827.5741074091746,0.8275741074091747,0.32147182024949356,0.163,1,0.20957142857142858,False,Not Significant,Not significant,604436.6647167173,4824801.786647261
5350516.31,2021S05075350516.31,0516.31,1.4206,35,Toronto,516.31,695.0,580.0,131000.0,83.45323741007195,1190.6830708624777,1.1906830708624778,0.39654430090472675,0.089,1,0.1357901109989909,False,Not Significant,Not significant,605362.4301618999,4824103.941190837
5350516.32,2021S05075350516.32,0516.32,1.0444,35,Toronto,516.32,1580.0,1280.0,144000.0,81.0126582278481,1725.2092013445033,1.7252092013445033,0.47418709243686324,0.076,1,0.12007523510971788,False,Not Significant,Not significant,598459.3482326316,4825470.952844017
