CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,ols_pred,ols_resid,centroid_x,centroid_y,spatial_block,spatial_role,xgb_spatial_pred,xgb_spatial_resid,xgb_full_pred,xgb_full_resid
5370001.08,2021S05075370001.08,0001.08,1.6383,35,Hamilton,1.08,2505.0,2025.0,108000.0,80.83832335329342,5808.303785569448,5.808303785569448,0.45850650450918684,0.061,1,0.10552860411899313,False,Not Significant,Not significant,73.79448608136985,7.0438372719235645,592479.5370921912,4783594.971266028,0,train,,,81.86548,-1.0271551623315816
5370001.09,2021S05075370001.09,0001.09,1.9699,35,Hamilton,1.09,1725.0,1330.0,108000.0,77.10144927536233,6430.335994699919,6.430335994699919,0.47374009747178936,0.002,1,0.009362229102167182,True,High-High,FDR-significant,74.5584078579482,2.5430414174141305,591417.595994432,4783110.670026519,0,train,,,81.33499,-4.233542179715798
5370120.02,2021S05075370120.02,0120.02,76.965,35,Hamilton,120.02,675.0,575.0,121000.0,85.18518518518519,12121.077731106134,12.121077731106134,1.0955115760527752,0.001,1,0.006222222222222222,True,High-High,FDR-significant,84.28659251123473,0.8985926739504606,579991.1058632007,4780646.963744818,0,train,,,87.44042,-2.2552368729202783
5370140.04,2021S05075370140.04,0140.04,3.027,35,Hamilton,140.04,1175.0,990.0,137000.0,84.25531914893617,4220.295999163577,4.220295999163577,0.8960649634377794,0.004,1,0.01566839378238342,True,High-High,FDR-significant,77.95509656127825,6.300222587657913,588747.4293503984,4797011.782977048,0,train,,,83.56385,0.6914687461041353
5320202.11,2021S05075320202.11,0202.11,2.9617,35,Oshawa,202.11,2955.0,2615.0,104000.0,88.49407783417935,832.2094442578165,0.8322094442578165,1.3366097177901295,0.001,1,0.006222222222222222,True,High-High,FDR-significant,66.84043616693582,21.653641667243534,683950.844614446,4863552.127795101,3,train,,,87.69402,0.8000547018551316
5320015.02,2021S05075320015.02,0015.02,2.2367,35,Oshawa,15.02,1510.0,1195.0,94000.0,79.13907284768213,6497.4696480103175,6.497469648010317,0.2682299828905488,0.161,1,0.20806153846153846,False,Not Significant,Not significant,71.69078811452981,7.44828473315232,670095.7085443956,4867752.953187261,3,train,,,79.87876,-0.7396884438217768
5350420.13,2021S05075350420.13,0420.13,1.8675,35,Toronto,420.13,1715.0,1260.0,81000.0,73.46938775510205,574.6900720769205,0.5746900720769205,0.15846504108410928,0.031,1,0.06546368715083799,False,Not Significant,Not significant,61.67763629072843,11.791751464373618,627082.6527662316,4855531.196390642,2,test,72.35881,1.1105773302973603,73.521515,-0.05212713747607722
5350422.03,2021S05075350422.03,0422.03,3.5903,35,Toronto,422.03,1705.0,1335.0,128000.0,78.2991202346041,3210.963694525795,3.2109636945257947,0.40081299773790924,0.015,1,0.03951219512195121,True,High-High,FDR-significant,74.81905738030089,3.4800628543032133,628930.4161409014,4861075.875848467,2,test,79.411095,-1.1119744309232402,81.44196,-3.1428429611966777
5350422.04,2021S05075350422.04,0422.04,0.8388,35,Toronto,422.04,915.0,735.0,119000.0,80.32786885245902,2454.1393820419007,2.454139382041901,0.47308717799612454,0.131,1,0.18006545454545453,False,Not Significant,Not significant,71.99312489658935,8.33474395586967,628587.7325824057,4860237.228711678,2,test,79.44486,0.8830064867363632,80.93393,-0.6060605909003556
5350422.05,2021S05075350422.05,0422.05,1.5519,35,Toronto,422.05,1630.0,1265.0,120000.0,77.60736196319019,1618.5918042768865,1.6185918042768865,0.25825189535696125,0.093,1,0.14005577689243026,False,Not Significant,Not significant,71.17770258836143,6.429659374828759,627674.3706634715,4860095.942679976,2,test,79.33669,-1.7293308468684074,79.93997,-2.3326099606379387
5350422.06,2021S05075350422.06,0422.06,1.8382,35,Toronto,422.06,1480.0,1020.0,63200.0,68.91891891891892,507.25370332933863,0.5072537033293386,-0.011318520919732872,0.081,2,0.126259793814433,False,Not Significant,Not significant,57.844017757383526,11.074901161535394,626349.1996732625,4859546.262235464,2,test,67.035614,1.8833049052470443,69.23508,-0.3161579853779557
5350424.07,2021S05075350424.07,0424.07,2.0988,35,Toronto,424.07,2135.0,1795.0,125000.0,84.07494145199064,1060.2579425475842,1.0602579425475842,0.7678045838309914,0.019,1,0.04717241379310345,True,High-High,FDR-significant,71.54560452714897,12.529336924841672,623892.3890146165,4862014.646511961,2,test,80.817245,3.257695968592202,83.07515,0.999791915857827
5350424.08,2021S05075350424.08,0424.08,2.3112,35,Toronto,424.08,2030.0,1710.0,137000.0,84.23645320197043,1183.5917357708122,1.1835917357708121,0.6338795777094897,0.045,1,0.08580075662042876,False,Not Significant,Not significant,74.22570042747223,10.0107527744982,624022.6268937835,4860989.859994864,2,test,81.57675,2.659701492986059,83.20892,1.0275298621266842
5350804.10,2021S05075350804.10,0804.10,1.4956,35,Toronto,804.1,1220.0,885.0,81000.0,72.54098360655738,601.9455018887123,0.6019455018887123,0.10439063532669746,0.107,1,0.1549655172413793,False,Not Significant,Not significant,61.71110886024752,10.829874746309855,653481.0426265758,4855258.038837284,5,train,,,74.88797,-2.3469863641457493
5350804.11,2021S05075350804.11,0804.11,1.6894,35,Toronto,804.11,1990.0,1485.0,93000.0,74.62311557788944,1660.4282843937815,1.6604282843937814,0.18222971843040234,0.067,1,0.11144554455445546,False,Not Significant,Not significant,65.53966727870348,9.08344829918596,654984.8859724642,4856291.235448291,3,train,,,77.27322,-2.6501006696691576
5350450.05,2021S05075350450.05,0450.05,3.0023,35,Toronto,450.05,1950.0,1640.0,124000.0,84.1025641025641,953.0152571308884,0.9530152571308883,0.7860558705554547,0.004,1,0.01566839378238342,True,High-High,FDR-significant,71.2031800193779,12.899384083186206,624234.7036304609,4876842.712995679,1,test,81.81563,2.2869360508062897,82.991295,1.1112692417242584
5350450.06,2021S05075350450.06,0450.06,3.3529,35,Toronto,450.06,2370.0,2045.0,148000.0,86.28691983122363,2536.8758026901505,2.5368758026901506,0.9704374832589376,0.01,1,0.03030060120240481,True,High-High,FDR-significant,78.20558713614359,8.081332695080036,626095.806793351,4877510.490278079,1,test,81.784,4.502923249192378,83.7875,2.499421357102534
5350573.06,2021S05075350573.06,0573.06,0.8234,35,Toronto,573.06,1875.0,1405.0,107000.0,74.93333333333332,2245.0708419653483,2.2450708419653482,0.14327991547864108,0.184,1,0.229166392092257,False,Not Significant,Not significant,69.20773759950346,5.725595733829863,597537.3895511536,4838666.731444097,7,train,,,76.153725,-1.2203913370768333
5350573.07,2021S05075350573.07,0573.07,1.5397,35,Toronto,573.07,2375.0,1665.0,84000.0,70.10526315789474,993.4509679815294,0.9934509679815294,0.02345438873692587,0.076,1,0.12007523510971788,False,Not Significant,Not significant,62.824076471599355,7.281186686295385,598657.0092685224,4837646.870692326,7,train,,,72.34222,-2.236953333804479
5350576.16,2021S05075350576.16,0576.16,0.985,35,Toronto,576.16,2575.0,2040.0,118000.0,79.2233009708738,6176.721332114981,6.176721332114981,0.3097853181051755,0.092,1,0.13896503496503496,False,Not Significant,Not significant,76.35413277798119,2.8691681928926016,599858.2790203961,4844023.872017973,7,train,,,78.80199,0.42131427653785636
5350576.17,2021S05075350576.17,0576.17,1.1763,35,Toronto,576.17,2525.0,1850.0,114000.0,73.26732673267327,6652.647316907927,6.652647316907927,0.1317342869815806,0.075,1,0.11949420442571126,False,Not Significant,Not significant,76.09574426552032,-2.8284175328470553,600352.3187389631,4844464.62889236,7,train,,,76.67394,-3.4066158332447003
5350585.09,2021S05075350585.09,0585.09,2.5319,35,Toronto,585.09,2265.0,2030.0,124000.0,89.62472406181016,15809.211248299549,15.80921124829955,1.5383123037882254,0.001,1,0.006222222222222222,True,High-High,FDR-significant,89.4481703401107,0.17655372169944883,602490.3565487054,4859245.970919094,7,train,,,88.27921,1.3455111101499995
5350585.10,2021S05075350585.10,0585.10,1.9392,35,Toronto,585.1,1965.0,1770.0,124000.0,90.07633587786259,13901.084895369779,13.90108489536978,1.6287560949671316,0.001,1,0.006222222222222222,True,High-High,FDR-significant,87.10478803278022,2.9715478450823696,603634.6779329992,4857652.572462493,7,train,,,88.361824,1.7145118422180587
5350586.02,2021S05075350586.02,0586.02,85.5158,35,Toronto,586.02,1070.0,960.0,115000.0,89.7196261682243,9219.938924991491,9.21993892499149,1.2909003098587228,0.001,1,0.006222222222222222,True,High-High,FDR-significant,79.45937075590305,10.260255412321243,588377.105970319,4843348.466228515,7,train,,,86.71492,3.0047061242789823
5350516.30,2021S05075350516.30,0516.30,2.4039,35,Toronto,516.3,1585.0,1310.0,156000.0,82.64984227129337,827.5741074091746,0.8275741074091747,0.32147182024949356,0.163,1,0.20957142857142858,False,Not Significant,Not significant,77.79213525711415,4.857707014179212,604436.6647167173,4824801.786647261,4,train,,,81.079926,1.569916734183991
5350516.31,2021S05075350516.31,0516.31,1.4206,35,Toronto,516.31,695.0,580.0,131000.0,83.45323741007195,1190.6830708624777,1.1906830708624778,0.39654430090472675,0.089,1,0.1357901109989909,False,Not Significant,Not significant,72.97009490608865,10.483142503983302,605362.4301618999,4824103.941190837,4,train,,,77.19026,6.262975569251637
